Handle,Title,Description(HTML),Description(text),OriginalPrice,DiscountedPrice,ProductURL,Image Src,Image Position
ORIENT東方之星 HERITAGE GOTHIC系列 經典復刻款RK-AW0001L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac362ebde790001385433/2000x.jpg,2
ORIENT東方之星 HERITAGE GOTHIC系列 經典復刻款RK-AW0001L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac364ebde790001385438/2000x.jpg,3
ORIENT東方之星 HERITAGE GOTHIC系列 經典復刻款RK-AW0001L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac365ebde790001385440/2000x.jpg,4
Orient Sport 系列自動機械手錶 RN-AC0L05G,Orient Sport 系列自動機械手錶 RN-AC0L05G,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：體育<br/>
</div>
<div>型號：RN-AC0L05G <br/>
</div>
<div>發行日期：2020年10月8日<br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯號：F6727 <br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材質：藍寶石玻璃（增透膜）<br/>
</div>
<div>錶帶材質：矽<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>尺寸：52mm x 47.3mm x 13.2mm H xW x T <br/>
</div>
<div>重量：132克<br/>
</div>
<div><br/></div>
<div>產品功能<br/>
</div>
<div>200m空中潛水防水<br/>
</div>
<div>平均每日差異+25秒到-15秒<br/>
</div>
<div>行駛時間：約40小時或更長時間<br/>
</div>
<div>日期顯示<br/>
</div>
<div>二手止動裝置<br/>
</div>
<div>防逆轉擋板<br/>
</div>
<div>擰回<br/>
</div>
<div>夜光（針/索引）<br/>
</div>
<div>限量500個<br/>
</div>
<div>日本製造<br/>
</div>
</div>",產品規格品牌：東方系列：體育型號：RN-AC0L05G發行日期：2020年10月8日機芯：機械自動機芯號：F6727錶殼材質：不銹鋼玻璃材質：藍寶石玻璃（增透膜）錶帶材質：矽帶寬：20毫米尺寸：52mm x 47.3mm x 13.2mm H xW x T重量：132克產品功能200m空中潛水防水平均每日差異+25秒到-15秒行駛時間：約40小時或更長時間日期顯示二手止動裝置防逆轉擋板擰回夜光（針/索引）限量500個日本製造,"HK$6,798.00","HK$3,850.00",https://www.citiwide-online.com/products/5fd9d7b8b6227e0001a4e8ac,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d7b94b47cc0001af56f5/2000x.jpg,1
Orient Sport 系列自動機械手錶 RN-AC0L05G,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d7ba4b47cc0001af56fd/2000x.jpg,2
Orient Sport 系列自動機械手錶 RN-AC0L05G,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d7bb4b47cc0001af5705/2000x.jpg,3
ORIENT東方之星Contemporary Retrograde系列 复古风男士機械手錶RK-DE0302E,ORIENT東方之星Contemporary Retrograde系列 复古风男士機械手錶RK-DE0302E,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：星<br/>
</div>
<div>型號：RK-DE0302E <br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯編號：40A52 <br/>
</div>
<div>驅動系統：機械式<br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材料（工作台）：球形藍寶石晶體（AR塗層）<br/>
</div>
<div>玻璃材料（背面）：無機玻璃<br/>
</div>
<div>錶帶材質：皮革<br/>
</div>
<div>帶寬20毫米<br/>
</div>
<div>重量：93克<br/>
</div>
<div>日常生活防水防水（10 atm）<br/>
</div>
<div>防磁類型1 <br/>
</div>
<div>產品功能<br/>
</div>
<div>自動上弦（手動上弦）<br/>
</div>
<div>逆行顯示功能<br/>
</div>
<div>電量顯示功能<br/>
</div>
<div>帶秒停裝置<br/>
</div>
<div>透明後蓋<br/>
</div>
<div>22寶石<br/>
</div>
</div>",產品規格品牌：東方系列：星型號：RK-DE0302E機芯：機械自動機芯編號：40A52驅動系統：機械式錶殼材質：不銹鋼玻璃材料（工作台）：球形藍寶石晶體（AR塗層）玻璃材料（背面）：無機玻璃錶帶材質：皮革帶寬20毫米重量：93克日常生活防水防水（10 atm）防磁類型1產品功能自動上弦（手動上弦）逆行顯示功能電量顯示功能帶秒停裝置透明後蓋22寶石,"HK$7,425.00","HK$5,570.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9626,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3606a53f00001430c30/2000x.jpg,1
ORIENT東方之星Contemporary Retrograde系列 复古风男士機械手錶RK-DE0302E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3636a53f00001430c37/2000x.jpg,2
ORIENT東方之星Contemporary Retrograde系列 复古风男士機械手錶RK-DE0302E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3666a53f00001430c3c/2000x.jpg,3
Orient Star 自動上錬機械運動手錶 RK-AU0202N,Orient Star 自動上錬機械運動手錶 RK-AU0202N,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>名牌    東方明星ORIENT STAR <br/></p>
<div>運動    自動上錬(有手動)<br/>
</div>
<div>     供日常生活使用的強化防水(10氣壓)<br/>
</div>
<div>精度：日變動+25秒～-15秒<br/>
</div>
<div>驅動時間：超過50小時(把最大卷起來的時候)<br/>
</div>
<div>秒針停止功能的<br/>
</div>
<div>22石頭<br/>
</div>
<div>動力表顯示<br/>
</div>
<div>日期表示<br/>
</div>
<div>透明背底蓋<br/>
</div>
<div>耐磁<br/>
</div>
<div>MADE IN JAPANv</div>
<div>防風物材料    表：藍寶石水晶(AR表面塗層)，背後：無機玻璃<br/>
</div>
<div>錶殼材料    不銹鋼(黑色鍍金)<br/>
</div>
<div>錶殼尺寸    49*41mm<br/>
</div>
<div>錶殼厚    12.1mm<br/>
</div>
<div>帶材料     皮革<br/>
</div>
<div>帶止住金型    推三個機會式<br/>
</div>
<div>頻寬    21mm<br/>
</div>
<div>表盤彩色    灰色<br/>
</div>
<div>本體重量    91g<br/>
</div>
</div>",名牌    東方明星ORIENT STAR運動    自動上錬(有手動)供日常生活使用的強化防水(10氣壓)精度：日變動+25秒～-15秒驅動時間：超過50小時(把最大卷起來的時候)秒針停止功能的22石頭動力表顯示日期表示透明背底蓋耐磁MADE IN JAPANv防風物材料    表：藍寶石水晶(AR表面塗層)，背後：無機玻璃錶殼材料    不銹鋼(黑色鍍金)錶殼尺寸    49*41mm錶殼厚    12.1mm帶材料     皮革帶止住金型    推三個機會式頻寬    21mm表盤彩色    灰色本體重量    91g,"HK$4,950.00","HK$2,250.00",https://www.citiwide-online.com/products/5df0a99d622a5662a0f51269,https://shoplineimg.com/5d02035403a5360001dbbef8/5df0a999622a5662a0f51267/2000x.jpg,1
Orient Star 自動上錬機械運動手錶 RK-AU0202N,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5df0a99c622a5662a0f51268/2000x.jpg,2
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0002S,ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0002S,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：不銹鋼，皮革<br/>
</div>
<div>錶盤顏色：白色<br/>
</div>
<div>手錶形狀：圓形<br/>
</div>
<div>顯示：模擬<br/>
</div>
<div>錶殼材質：藍寶石，不銹鋼，水晶<br/>
</div>
<div>機芯：機械（自動）<br/>
</div>
<div>功能：藍寶石水晶玻璃，自動上弦，動力儲存指示器，日期指示器，十二小時刻度盤<br/>
</div>
<div>錶帶顏色：銀色<br/>
</div>
<div>樂隊類型：手鍊<br/>
</div>
<div>錶殼的大小：46毫米<br/>
</div>
<div>類型：手錶<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>錶殼顏色：白色，銀色<br/>
</div>
</div>",產品規格錶帶材質：不銹鋼，皮革錶盤顏色：白色手錶形狀：圓形顯示：模擬錶殼材質：藍寶石，不銹鋼，水晶機芯：機械（自動）功能：藍寶石水晶玻璃，自動上弦，動力儲存指示器，日期指示器，十二小時刻度盤錶帶顏色：銀色樂隊類型：手鍊錶殼的大小：46毫米類型：手錶帶寬：20毫米錶殼顏色：白色，銀色,"HK$6,930.00","HK$5,200.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9623,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac35f978ded0001b13288/2000x.jpg,1
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0002S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac361978ded0001b13289/2000x.jpg,2
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0002S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac362978ded0001b1328a/2000x.jpg,3
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0002S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac363978ded0001b1328b/2000x.jpg,4
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0002L19B,東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0002L19B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>詳細介紹<br/></p>
<div>機芯：日本F6922機芯<br/>
</div>
<div><br/></div>
<div>錶殼尺寸：直徑41.8mm<br/>
</div>
<div>鏡面材質：藍寶石抗磨損鏡面<br/>
</div>
<div>錶面顏色：藍色<br/>
</div>
<div>錶殼材質：精鋼材質<br/>
</div>
<div>錶帶材質：精鋼材質<br/>
</div>
<div>防水：20 ATM<br/>
</div>
<div><br/></div>
<div>配件：附原廠錶盒，原廠保證書<br/>
</div>
</div>",詳細介紹機芯：日本F6922機芯錶殼尺寸：直徑41.8mm鏡面材質：藍寶石抗磨損鏡面錶面顏色：藍色錶殼材質：精鋼材質錶帶材質：精鋼材質防水：20 ATM配件：附原廠錶盒，原廠保證書,"HK$3,850.00","HK$1,990.00",https://www.citiwide-online.com/products/605c06c94c8ec40001b14111,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cb0f35ce0001b8ebbc/2000x.png,1
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0002L19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cd0f35ce0001b8ebbd/2000x.jpg,2
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0002L19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06ce0f35ce0001b8ebbe/2000x.jpg,3
ORIENT東方 Classic Music RN-AG0017L機械手錶男士,ORIENT東方 Classic Music RN-AG0017L機械手錶男士,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：金屬，不銹鋼<br/>
</div>
<div>風格：經典<br/>
</div>
<div>錶盤顏色：藍色<br/>
</div>
<div>手錶形狀：圓形<br/>
</div>
<div>顯示：模擬<br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>機芯：機械（自動）<br/>
</div>
<div>特點：自動上鍊，12小時撥號盤<br/>
</div>
<div>錶帶顏色：銀色<br/>
</div>
<div>樂隊類型：手鍊<br/>
</div>
<div>錶殼的大小：46.5毫米<br/>
</div>
<div>類型：手錶<br/>
</div>
<div>錶殼顏色：銀色<br/>
</div>
<div>主題：音樂<br/>
</div>
</div>",產品規格錶帶材質：金屬，不銹鋼風格：經典錶盤顏色：藍色手錶形狀：圓形顯示：模擬錶殼材料：不銹鋼機芯：機械（自動）特點：自動上鍊，12小時撥號盤錶帶顏色：銀色樂隊類型：手鍊錶殼的大小：46.5毫米類型：手錶錶殼顏色：銀色主題：音樂,"HK$2,970.00","HK$2,230.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b962c,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3606a53f00001430c31/2000x.jpg,1
ORIENT東方 Classic Music RN-AG0017L機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3636a53f00001430c35/2000x.jpg,2
ORIENT東方 Classic Music RN-AG0017L機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3666a53f00001430c3a/2000x.jpg,3
ORIENT東方 Classic Music RN-AG0017L機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3686a53f00001430c46/2000x.jpg,4
Orient東方 Classic RN-AG0022S 機械手錶男士,Orient東方 Classic RN-AG0022S 機械手錶男士,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：東方經典<br/>
</div>
<div>性別：中性<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>機芯：F6T22 <br/>
</div>
<div>錶殼材料：不銹鋼，鍍金<br/>
</div>
<div>錶殼形狀：圓形<br/>
</div>
<div>錶殼尺寸：36.5 <br/>
</div>
<div>錶殼厚度：12.4 <br/>
</div>
<div>撥號類型：模擬<br/>
</div>
<div>錶盤顏色：白色<br/>
</div>
<div>錶帶材質：皮革<br/>
</div>
<div>錶帶顏色：棕色<br/>
</div>
<div>耐水性：30 <br/>
</div>
<div>玻璃：礦物<br/>
</div>
<div>特點：防磁<br/>
</div>
</div>",產品規格品牌：東方系列：東方經典性別：中性機芯：自動機芯：F6T22錶殼材料：不銹鋼，鍍金錶殼形狀：圓形錶殼尺寸：36.5錶殼厚度：12.4撥號類型：模擬錶盤顏色：白色錶帶材質：皮革錶帶顏色：棕色耐水性：30玻璃：礦物特點：防磁,"HK$2,890.00","HK$2,170.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b962f,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac360ebde790001385430/2000x.jpg,1
Orient東方 Classic RN-AG0022S 機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac361ebde790001385432/2000x.jpg,2
Orient東方 Classic RN-AG0022S 機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac363ebde790001385436/2000x.jpg,3
ORIENT東方之星 Contemporary Slim 镂空 男士機械手錶 RK-HJ0002L,ORIENT東方之星 Contemporary Slim 镂空 男士機械手錶 RK-HJ0002L,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：東方之星<br/>
</div>
<div>性別：男士<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>機芯：F7F62 <br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>形狀：圓形<br/>
</div>
<div>撥號類型：模擬<br/>
</div>
<div>錶盤顏色：藍色<br/>
</div>
<div>錶帶材質：不銹鋼<br/>
</div>
<div>錶帶顏色：銀色<br/>
</div>
<div>耐水性：50m <br/>
</div>
<div>玻璃：藍寶石<br/>
</div>
<div>特點：防磁，動力儲備指示器<br/>
</div>
</div>",產品規格品牌：東方系列：東方之星性別：男士機芯：自動機芯：F7F62錶殼材料：不銹鋼形狀：圓形撥號類型：模擬錶盤顏色：藍色錶帶材質：不銹鋼錶帶顏色：銀色耐水性：50m玻璃：藍寶石特點：防磁，動力儲備指示器,"HK$12,375.00","HK$7,425.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9628,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3600458560001b3c407/2000x.jpg,1
ORIENT東方之星 Contemporary Slim 镂空 男士機械手錶 RK-HJ0002L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3610458560001b3c408/2000x.jpg,2
ORIENT東方之星 Contemporary Slim 镂空 男士機械手錶 RK-HJ0002L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3630458560001b3c409/2000x.jpg,3
ORIENT東方之星 Contemporary Slim 镂空 男士機械手錶 RK-HJ0002L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3640458560001b3c40a/2000x.jpg,4
ORIENT 東方萬年曆機械手錶 SEU07005WX/FEU07005WX,ORIENT 東方萬年曆機械手錶 SEU07005WX/FEU07005WX,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>不銹鋼錶殼<br/></p>
<div>不銹鋼手鍊<br/>
</div>
<div>自動機芯<br/>
</div>
<div>礦物水晶<br/>
</div>
<div>模擬顯示<br/>
</div>
<div>白色錶盤<br/>
</div>
<div>日期和日期顯示<br/>
</div>
<div>擰回<br/>
</div>
<div>螺絲冠<br/>
</div>
<div>熒光箭頭和標籤<br/>
</div>
<div>100米防水<br/>
</div>
<div><br/></div>
<div>錶殼直徑44毫米<br/>
</div>
<div>錶殼的厚度12mm<br/>
</div>
<div>重量144g<br/>
</div>
<div><br/></div>
</div>",不銹鋼錶殼不銹鋼手鍊自動機芯礦物水晶模擬顯示白色錶盤日期和日期顯示擰回螺絲冠熒光箭頭和標籤100米防水錶殼直徑44毫米錶殼的厚度12mm重量144g,"HK$2,550.00","HK$1,150.00",https://www.citiwide-online.com/products/5ec3962c07ec313f9f603f11,https://shoplineimg.com/5d02035403a5360001dbbef8/5ec3962707ec313f9f603f0e/2000x.jpg,1
ORIENT 東方萬年曆機械手錶 SEU07005WX/FEU07005WX,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5ec3962a07ec313f9f603f0f/2000x.jpg,2
ORIENT 東方萬年曆機械手錶 SEU07005WX/FEU07005WX,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5ec3962c07ec313f9f603f10/2000x.jpg,3
Orient Sport 系列自動機械手錶 RN-AC0L02R,Orient Sport 系列自動機械手錶 RN-AC0L02R,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：體育<br/>
</div>
<div>型號：RN-AC0L02R <br/>
</div>
<div>發行日期：2020年10月8日<br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯號：F6727 <br/>
</div>
<div>錶殼材質：不銹鋼</div>
<div>玻璃材質：藍寶石玻璃（增透膜）<br/>
</div>
<div>錶帶材質：不銹鋼<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>尺寸：52mm x 47.3mm x 13.2mm H xW x T <br/>
</div>
<div>重量：206克<br/>
</div>
<div><br/></div>
<div>產品功能<br/>
</div>
<div>200m空氣潛水防水<br/>
</div>
<div>平均每日差異+25秒到-15秒<br/>
</div>
<div>行駛時間：約40小時或更長時間<br/>
</div>
<div>日期顯示<br/>
</div>
<div>二手止動裝置<br/>
</div>
<div>防逆轉擋板<br/>
</div>
<div>擰回<br/>
</div>
<div>夜光（針/索引）<br/>
</div>
<div>日本製造<br/>
</div>
</div>",產品規格品牌：東方系列：體育型號：RN-AC0L02R發行日期：2020年10月8日機芯：機械自動機芯號：F6727錶殼材質：不銹鋼玻璃材質：藍寶石玻璃（增透膜）錶帶材質：不銹鋼帶寬：20毫米尺寸：52mm x 47.3mm x 13.2mm H xW x T重量：206克產品功能200m空氣潛水防水平均每日差異+25秒到-15秒行駛時間：約40小時或更長時間日期顯示二手止動裝置防逆轉擋板擰回夜光（針/索引）日本製造,"HK$6,798.00","HK$3,850.00",https://www.citiwide-online.com/products/5fd9d181b6227e0001a4e89b,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1821feeab000160b67d/2000x.jpg,1
Orient Sport 系列自動機械手錶 RN-AC0L02R,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1831feeab000160b682/2000x.jpg,2
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0307E,東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0307E,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>匯集：東方體育<br/>
</div>
<div>性別：男士<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>口徑：F6N47 <br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>錶殼形狀：圓形<br/>
</div>
<div>錶殼尺寸：43.6 <br/>
</div>
<div>錶殼厚度：14 <br/>
</div>
<div>撥號類型：模擬<br/>
</div>
<div>錶盤顏色：綠色<br/>
</div>
<div>錶帶材質：不銹鋼，聚合物<br/>
</div>
<div>錶帶顏色：銀色，黑色<br/>
</div>
<div>耐水性：200 <br/>
</div>
<div>玻璃：藍寶石，防反射塗層<br/>
</div>
<div><br/></div>
<div>功能<br/>
</div>
<div>發光指針，發光標記，防磁，日期，動力儲存指示器，旋入式表冠<br/>
</div>
</div>",產品規格品牌：東方匯集：東方體育性別：男士機芯：自動口徑：F6N47錶殼材料：不銹鋼錶殼形狀：圓形錶殼尺寸：43.6錶殼厚度：14撥號類型：模擬錶盤顏色：綠色錶帶材質：不銹鋼，聚合物錶帶顏色：銀色，黑色耐水性：200玻璃：藍寶石，防反射塗層功能發光指針，發光標記，防磁，日期，動力儲存指示器，旋入式表冠,"HK$6,850.00","HK$5,140.00",https://www.citiwide-online.com/products/605c06c94c8ec40001b14115,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cb6619860001d45ad7/2000x.jpg,1
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0307E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cd6619860001d45adc/2000x.jpg,2
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0307E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cf6619860001d45adf/2000x.jpg,3
Orient Sport 系列自動機械手錶 RN-AC0L04L,Orient Sport 系列自動機械手錶 RN-AC0L04L,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：體育<br/>
</div>
<div>型號：RN-AC0L04L <br/>
</div>
<div>發行日期：2020年10月8日<br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯號：F6727 <br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材質：藍寶石玻璃（增透膜）<br/>
</div>
<div>錶帶材質：矽<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>尺寸：52mm x 47.3mm x 13.2mm H xW x T <br/>
</div>
<div>重量：132克<br/>
</div>
<div><br/></div>
<div>產品功能<br/>
</div>
<div>200m空中潛水防水<br/>
</div>
<div>平均每日差異+25秒到-15秒<br/>
</div>
<div>行駛時間：約40小時或更長時間<br/>
</div>
<div>日期顯示<br/>
</div>
<div>二手止動裝置<br/>
</div>
<div>防逆轉擋板<br/>
</div>
<div>擰回<br/>
</div>
<div>夜光（針/索引）<br/>
</div>
<div>日本製造<br/>
</div>
</div>",產品規格品牌：東方系列：體育型號：RN-AC0L04L發行日期：2020年10月8日機芯：機械自動機芯號：F6727錶殼材質：不銹鋼玻璃材質：藍寶石玻璃（增透膜）錶帶材質：矽帶寬：20毫米尺寸：52mm x 47.3mm x 13.2mm H xW x T重量：132克產品功能200m空中潛水防水平均每日差異+25秒到-15秒行駛時間：約40小時或更長時間日期顯示二手止動裝置防逆轉擋板擰回夜光（針/索引）日本製造,"HK$6,798.00","HK$3,650.00",https://www.citiwide-online.com/products/5fd9d181b6227e0001a4e89d,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1831feeab000160b67f/2000x.jpg,1
Orient Sport 系列自動機械手錶 RN-AC0L04L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1841feeab000160b686/2000x.jpg,2
Orient Sport 系列自動機械手錶 RN-AC0L04L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1851feeab000160b691/2000x.jpg,3
ORIENT東方运动系列 潜水機械手錶男士RN-AA0006B,ORIENT東方运动系列 潜水機械手錶男士RN-AA0006B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：不銹鋼<br/>
</div>
<div>凸耳寬度：22毫米<br/>
</div>
<div>風格：運動，潛水員<br/>
</div>
<div>錶盤顏色：黑色<br/>
</div>
<div>手錶形狀：圓形<br/>
</div>
<div>顯示：數字，模擬和數字，模擬<br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>機芯：機械（自動）<br/>
</div>
<div>功能：夜光錶盤，日期指示器，防水，星期指示器，夜光指針，12小時錶盤<br/>
</div>
<div>錶帶顏色：黑色，銀色<br/>
</div>
<div>樂隊類型：手鍊<br/>
</div>
<div>錶殼的大小：50毫米<br/>
</div>
<div>類型：手錶<br/>
</div>
<div>底蓋：螺絲釘<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>耐水性：200 m（20 ATM）<br/>
</div>
<div>錶殼顏色：銀色，黑色<br/>
</div>
</div>",產品規格錶帶材質：不銹鋼凸耳寬度：22毫米風格：運動，潛水員錶盤顏色：黑色手錶形狀：圓形顯示：數字，模擬和數字，模擬錶殼材料：不銹鋼機芯：機械（自動）功能：夜光錶盤，日期指示器，防水，星期指示器，夜光指針，12小時錶盤錶帶顏色：黑色，銀色樂隊類型：手鍊錶殼的大小：50毫米類型：手錶底蓋：螺絲釘帶寬：20毫米耐水性：200 m（20 ATM）錶殼顏色：銀色，黑色,"HK$2,805.00","HK$2,105.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b962a,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3603b05b800019dd44e/2000x.jpg,1
ORIENT東方运动系列 潜水機械手錶男士RN-AA0006B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3633b05b800019dd458/2000x.jpg,2
